name,label,en,ru,kg
Horns of the Mountain Ram,Horns of the Mountain Ram,"The majestic, spiraling horns of the mountain ram stand as a preeminent symbol of indomitable strength, powerful virility, and unwavering protection. Each curve embodies resilience and connection to the rugged peaks, a sacred emblem woven into the heart of Kyrgyz culture, often seen in intricate silverwork.",Рога горного барана,Тоо текенин мүйүзү
Head of the Mountain Ram,Head of the Mountain Ram,"While less frequent than its horned counterpart, the ram's head offers a holistic gaze, hinting at intelligence, stubborn resolve, or a deeper, more direct presence. It's a nuanced depiction within the zoomorphic lexicon, occasionally gracing surfaces to evoke the animal's full essence.",Голова горного барана,Тоо текенин башы
Horns of the White Deer,Horns of the White Deer,"Intricately crafted, these horns of the rare white deer transcend earthly bounds, symbolizing profound purity, spiritual ascension, and a higher, mystical wisdom. Their complex structure whispers of intricate spiritual paths and connections to unseen, sacred realms, a rare emblem of enlightenment.",Рога белого оленя,Ак бугунун мүйүзү
Horns of the Deer,Horns of the Deer,"A ubiquitous and wonderfully diverse motif, reflecting the grace, swiftness, and intuitive spirit of the deer. Its adaptability allows it to intertwine with various forms – animal, plant, or daily objects – creating miniature narratives. Often paired with mountain ram horns, it portrays the varied strengths and aspects of the wild, a testament to nature's boundless forms.",Рога оленя,Бугунун мүйүзү
Wide Deer Horns,Wide Deer Horns,"As lovingly described by master embroiderers of old, these broad, expansive deer horns speak of mature wisdom, seasoned experience, or the majestic presence of a powerful stag. Their amplified size conveys an increased depth of spirit and a grander connection to the wild's ancient knowledge.",Широкие рога оленя,Кең бугу мүйүзү
Deer Hoof Print with Wide Horns,Deer Hoof Print with Wide Horns,"A vivid narrative in miniature, capturing the trace of a magnificent journey. The deer's hoof print signifies passage and presence, while the 'wide horns' connect this imprint to a powerful, perhaps legendary, creature. It tells a silent story of a significant path taken, a legacy etched upon the earth, as interpreted by wise embroiderers.",След копыта оленя с широкими рогами,Бугунун туягынын изи кең мүйүзү менен
Flower,Flower,"A delicate bloom, unfurling its beauty as a vibrant symbol of growth, vitality, and the tender promise of the natural world. It adorns scenes with ephemeral grace, marking seasons and the flourishing abundance of life.",Цветок,Гүл
Clouds,Clouds,"Whispers of the sky, ever-changing and vast, symbolizing transformation, the mystery of the heavens, and the life-giving promise of rain. They drift through ornamental narratives, setting atmospheric moods and hinting at larger, unseen forces.",Облака,Булуттар
Mountain Goat,Mountain Goat,"The agile spirit of the high peaks, embodying resilience, freedom, and an unbreakable bond with the rugged mountain landscapes. Roaming the summer pastures, it evokes the nomadic connection to land and the wild, resourceful spirit of survival.",Горный козел,Тоо эчки
Boat covered in leaves,Boat covered in leaves,"A hidden vessel, nestled in foliage, suggesting a tranquil pause, safe concealment, or the quiet readiness for a future journey. It whispers of secret havens and potential passages, a subtle detail within a larger narrative of peace or anticipation.","Лодка, укрытая в листьях",Жалбырактарга жашынган кайык
Pointed Kyrgyz Yurt,Pointed Kyrgyz Yurt,"The iconic heart of nomadic life, its pointed crown reaching towards the sky. It is the sacred sanctuary of home, family, and community, a resilient symbol of shelter and cultural identity, anchoring life's narratives in its warm, welcoming embrace.",Островерхая киргизская юрта,Учу кайчы кийиз үй
Leather Pants decorated with a groove pattern,Leather Pants,"More than mere attire, these leather pants, etched with a distinctive groove pattern, speak of human presence, craftsmanship, and a cultural aesthetic woven into daily wear. They signify the dignity of labor and the unique identity of the wearer, a subtle detail painting a picture of nomadic life.","Кожаные штаны, украшенные узором желобок",Оюк оюм менен кооздолгон булгаары шым
Ram Meat,Ram Meat,"The essence of sustenance and generous abundance, central to feasting and hospitality. It symbolizes nourishment, the fruitful bounty of animal husbandry, and the shared joy of provision within a community, a culinary anchor of Kyrgyz tradition.",Мясо барана,Кой эти
Bat,Bat,"A nocturnal whisper, marking the transition to dusk or night. This creature of twilight embodies intuition, the mysteries of the unseen, and the subtle shifts in the world, lending an air of quiet contemplation or a hint of hidden secrets to ornamental scenes.",Летучая мышь,Жарганат
Cotton,Cotton,"The soft bloom of agricultural prosperity, symbolizing harvest, purity, and the gentle promise of textiles. Its presence speaks of fertile lands, diligent labor, and the abundant resources provided by nature, blossoming with warmth and potential.",Хлопок,Пахта
Lit Lantern,Lit Lantern,"A beacon of warmth and guidance, piercing the veil of night. It symbolizes light in darkness, the dawn of understanding, and a watchful presence. Its glow marks the beginning of an evening's narrative, illuminating paths and promises.",Зажегшийся фонарь,Күйгөн чырак
Young Moon,Young Moon,"A silver sliver in the twilight sky, symbolizing new beginnings, the gentle turning of time's wheel, and burgeoning hope. Its nascent light speaks of fresh phases, quiet growth, and the serene beauty of the nocturnal world's unfolding possibilities.",Молодой месяц,Жаш ай
Dog digging the earth,Dog digging the earth,"A loyal spirit in active communion with the earth, signifying vigilance, industriousness, and an instinctive connection to the land. This faithful companion's actions speak of searching, uncovering, or simply tending to the familiar ground of home, a living testament to devotion.","Собака, рывшая землю",Жер казган ит
Resting Horse,Resting Horse,"A majestic pause, embodying tranquility and the quiet power of readiness. For the nomad, the horse is life itself – mobility, wealth, freedom. A resting horse hints at journeys completed, moments of peace, and the ever-present potential for swift, unbridled movement across the vast steppe.",Отдыхающий конь,Эс алган ат
Person sitting on the ground,Person sitting on the ground,"A figure in quiet repose, connecting directly with the earth. This posture signifies contemplation, peaceful rest, or communal gathering, bringing a grounding human presence to the scene, a moment of stillness amidst the flow of life.",Сидящий на земле человек,Жерде отурган адам
Stars,Stars,"Countless jewels scattered across the cosmic canvas, symbolizing eternity, divine guidance, and the boundless expanse of destiny. They offer silent orientation through the night, whispering tales of universal order and the myriad possibilities held within the vast heavens.",Звезды,Жылдыздар
Tree on the river bank,Tree on the river bank,"A steadfast guardian at the water's edge, symbolizing enduring life, robust growth, and the vital presence of flowing water. It marks a fertile haven, a natural landmark where life flourishes, blending the stability of land with the dynamism of the river.",Дерево на берегу реки,Дарыя жээгиндеги дарак
Bird on a branch,Bird on a branch,"A feathered sentinel, poised on a natural perch, symbolizing freedom, lightness of spirit, and the vital communication of nature. Its presence evokes the lively symphony of the wild, a watchful eye, or a messenger between worlds.",Птица на ветке,Бутактагы куш
Slightly unfurled flower,Slightly unfurled flower,"The delicate promise of blossoming life, poised at the threshold of full bloom. It embodies new beginnings, tender growth, and the fresh beauty of emergence, a subtle hint of the vibrant potential yet to unfold.",Слегка распустившийся цветок,Бираз ачылган гүл
Plowshare,Plowshare,"An ancient tool of the earth, symbolizing labor, cultivation, and the profound human act of shaping the land for sustenance. When depicted as 'forgotten,' it whispers of evolving traditions, the passage of time, or the gentle echoes of past labors across the changing landscape.",Сошник,Сошник (жер айдоо куралы)
Human Foot,Human Foot,"A fundamental imprint of human journey and presence. It signifies passage, exploration, and the tactile connection between humanity and the physical world, marking each step taken, each path forged.",Нога человека,Адам буту
Patterned Saddlecloth,Patterned Saddlecloth,"A tapestry of comfort and tradition, where intricate patterns adorn a utilitarian object. It symbolizes the integration of art into daily life, offering warmth and hospitality within the nomadic yurt, a handcrafted testament to cultural richness and domestic comfort.",Узорная попона,Оюмдуу попона
"Walking along a winding path, climbing a steep mountain","Winding path, steep mountain","An arduous yet purposeful journey, winding through life's complexities and ascending formidable challenges. This path symbolizes perseverance, the overcoming of obstacles, and the determination required to reach lofty goals, a narrative of effort and triumph.","Идти по извилистой линии, поднимаясь на крутую гору","Ийри жол менен жогору, тик тоого чыгуу"
'Reflected' Ornament / 'Reserve','Reflected' Ornament / 'Reserve',"A sophisticated dance of positive and negative space, where the 'empty' or 'remainder' area forms its own compelling design. This technique reveals deeper layers of meaning, suggesting hidden narratives, implicit connections, and the profound beauty found in the interplay of presence and absence, often highlighted by evocative color.",'Отраженный' орнамент / 'Резерв' (кирг. 'долбоор'),'Чагылдырылган' орнамент / 'Резерв' (кырг. 'долбоор')
