Combination Name,Combined Meaning (en),Combined Meaning (ru),Combined Meaning (kg)
Clouds + Stars + Unity,"An intricate interplay of Clouds, Stars, Unity. These elements weave together concepts of Whispers of the sky, ever-changing and vast, symbolizing transformation, the mystery of the heavens, and the life-giving promise of rain, Countless jewels scattered across the cosmic canvas, symbolizing eternity, divine guidance, and the boundless expanse of destiny, and All elements are connected, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: Clouds, Stars, Unity","Айырмачылыгы: Clouds, Stars, Unity"
'Reflected' Ornament / 'Reserve' + Resting Horse,"A harmonious fusion of 'Reflected' Ornament / 'Reserve' and Resting Horse. This combination evokes themes of A sophisticated dance of positive and negative space, where the 'empty' or 'remainder' area forms its own compelling design and A majestic pause, embodying tranquility and the quiet power of readiness, signifying a balanced strength and a layered narrative of cultural depth and natural power.","Сочетание: 'Reflected' Ornament / 'Reserve', Resting Horse","Айырмачылыгы: 'Reflected' Ornament / 'Reserve', Resting Horse"
Deer Hoof Print with Wide Horns + Head of the Mountain Ram + Shield,"An intricate interplay of Deer Hoof Print with Wide Horns, Head of the Mountain Ram, Shield. These elements weave together concepts of A vivid narrative in miniature, capturing the trace of a magnificent journey, While less frequent than its horned counterpart, the ram's head offers a holistic gaze, hinting at intelligence, stubborn resolve, or a deeper, more direct presence, and Shield design with rhombuses showing full protection, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: Deer Hoof Print with Wide Horns, Head of the Mountain Ram, Shield","Айырмачылыгы: Deer Hoof Print with Wide Horns, Head of the Mountain Ram, Shield"
Horns of the Mountain Ram + Person sitting on the ground,"A harmonious fusion of Horns of the Mountain Ram and Person sitting on the ground. This combination evokes themes of The majestic, spiraling horns of the mountain ram stand as a preeminent symbol of indomitable strength, powerful virility, and unwavering protection and A figure in quiet repose, connecting directly with the earth, signifying a balanced strength and a layered narrative of cultural depth and natural power.","Сочетание: Horns of the Mountain Ram, Person sitting on the ground","Айырмачылыгы: Horns of the Mountain Ram, Person sitting on the ground"
Family + Plowshare + Trilistnik,"An intricate interplay of Family, Plowshare, Trilistnik. These elements weave together concepts of A perfect circle of unity, binding generations together with threads of warmth and unwavering support, An ancient tool of the earth, symbolizing labor, cultivation, and the profound human act of shaping the land for sustenance, and Nature’s harmony: sky, earth, water, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: Family, Plowshare, Trilistnik","Айырмачылыгы: Family, Plowshare, Trilistnik"
Horns of the White Deer + Tree on the river bank,"A harmonious fusion of Horns of the White Deer and Tree on the river bank. This combination evokes themes of Intricately crafted, these horns of the rare white deer transcend earthly bounds, symbolizing profound purity, spiritual ascension, and a higher, mystical wisdom and A steadfast guardian at the water's edge, symbolizing enduring life, robust growth, and the vital presence of flowing water, signifying a balanced strength and a layered narrative of cultural depth and natural power.","Сочетание: Horns of the White Deer, Tree on the river bank","Айырмачылыгы: Horns of the White Deer, Tree on the river bank"
Clouds + Man + Plowshare,"An intricate interplay of Clouds, Man, Plowshare. These elements weave together concepts of Whispers of the sky, ever-changing and vast, symbolizing transformation, the mystery of the heavens, and the life-giving promise of rain, Symbolizes strength, protection, and masculinity, and An ancient tool of the earth, symbolizing labor, cultivation, and the profound human act of shaping the land for sustenance, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: Clouds, Man, Plowshare","Айырмачылыгы: Clouds, Man, Plowshare"
Horns of the Deer + River,"A harmonious fusion of Horns of the Deer and River. This combination evokes themes of A ubiquitous and wonderfully diverse motif, reflecting the grace, swiftness, and intuitive spirit of the deer and Wavy line, signifying a balanced strength and a layered narrative of cultural depth and natural power.","Сочетание: Horns of the Deer, River","Айырмачылыгы: Horns of the Deer, River"
'Tamga' Theory + Family + Pointed Kyrgyz Yurt,"An intricate interplay of 'Tamga' Theory, Family, Pointed Kyrgyz Yurt. These elements weave together concepts of A compelling theory suggesting that some ornaments echo ancient tamgas – tribal seals of identity and lineage, A perfect circle of unity, binding generations together with threads of warmth and unwavering support, and The iconic heart of nomadic life, its pointed crown reaching towards the sky, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: 'Tamga' Theory, Family, Pointed Kyrgyz Yurt","Айырмачылыгы: 'Tamga' Theory, Family, Pointed Kyrgyz Yurt"
Flower + Person sitting on the ground,"A harmonious fusion of Flower and Person sitting on the ground. This combination evokes themes of A delicate bloom, unfurling its beauty as a vibrant symbol of growth, vitality, and the tender promise of the natural world and A figure in quiet repose, connecting directly with the earth, signifying a balanced strength and a layered narrative of cultural depth and natural power.","Сочетание: Flower, Person sitting on the ground","Айырмачылыгы: Flower, Person sitting on the ground"
'Tamga' Theory + Bird on a branch + Spiral Motifs and Meander Motifs,"An intricate interplay of 'Tamga' Theory, Bird on a branch, Spiral Motifs and Meander Motifs. These elements weave together concepts of A compelling theory suggesting that some ornaments echo ancient tamgas – tribal seals of identity and lineage, A feathered sentinel, poised on a natural perch, symbolizing freedom, lightness of spirit, and the vital communication of nature, and Flowing lines that weave tales of perpetual motion and boundless continuity, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: 'Tamga' Theory, Bird on a branch, Spiral Motifs and Meander Motifs","Айырмачылыгы: 'Tamga' Theory, Bird on a branch, Spiral Motifs and Meander Motifs"
Deer Hoof Print with Wide Horns + Head of the Mountain Ram + Plowshare,"An intricate interplay of Deer Hoof Print with Wide Horns, Head of the Mountain Ram, Plowshare. These elements weave together concepts of A vivid narrative in miniature, capturing the trace of a magnificent journey, While less frequent than its horned counterpart, the ram's head offers a holistic gaze, hinting at intelligence, stubborn resolve, or a deeper, more direct presence, and An ancient tool of the earth, symbolizing labor, cultivation, and the profound human act of shaping the land for sustenance, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: Deer Hoof Print with Wide Horns, Head of the Mountain Ram, Plowshare","Айырмачылыгы: Deer Hoof Print with Wide Horns, Head of the Mountain Ram, Plowshare"
"River + Walking along a winding path, climbing a steep mountain + Woman","An intricate interplay of River, Walking along a winding path, climbing a steep mountain, Woman. These elements weave together concepts of Wavy line, An arduous yet purposeful journey, winding through life's complexities and ascending formidable challenges, and Softness, care, fertility, motherhood, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: River, Walking along a winding path, climbing a steep mountain, Woman","Айырмачылыгы: River, Walking along a winding path, climbing a steep mountain, Woman"
Spiral Motifs and Meander Motifs + Young Moon,"A harmonious fusion of Spiral Motifs and Meander Motifs and Young Moon. This combination evokes themes of Flowing lines that weave tales of perpetual motion and boundless continuity and A silver sliver in the twilight sky, symbolizing new beginnings, the gentle turning of time's wheel, and burgeoning hope, signifying a balanced strength and a layered narrative of cultural depth and natural power.","Сочетание: Spiral Motifs and Meander Motifs, Young Moon","Айырмачылыгы: Spiral Motifs and Meander Motifs, Young Moon"
Slightly unfurled flower + Stars,"A harmonious fusion of Slightly unfurled flower and Stars. This combination evokes themes of The delicate promise of blossoming life, poised at the threshold of full bloom and Countless jewels scattered across the cosmic canvas, symbolizing eternity, divine guidance, and the boundless expanse of destiny, signifying a balanced strength and a layered narrative of cultural depth and natural power.","Сочетание: Slightly unfurled flower, Stars","Айырмачылыгы: Slightly unfurled flower, Stars"
Mountain Goat + Shield + Tekche,"An intricate interplay of Mountain Goat, Shield, Tekche. These elements weave together concepts of The agile spirit of the high peaks, embodying resilience, freedom, and an unbreakable bond with the rugged mountain landscapes, Shield design with rhombuses showing full protection, and Step-like pattern, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: Mountain Goat, Shield, Tekche","Айырмачылыгы: Mountain Goat, Shield, Tekche"
Flower + Salbai + Young Moon,"An intricate interplay of Flower, Salbai, Young Moon. These elements weave together concepts of A delicate bloom, unfurling its beauty as a vibrant symbol of growth, vitality, and the tender promise of the natural world, Wave-like defenders, and A silver sliver in the twilight sky, symbolizing new beginnings, the gentle turning of time's wheel, and burgeoning hope, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: Flower, Salbai, Young Moon","Айырмачылыгы: Flower, Salbai, Young Moon"
Mountains + Person sitting on the ground + Tekche,"An intricate interplay of Mountains, Person sitting on the ground, Tekche. These elements weave together concepts of A wish for high goals, A figure in quiet repose, connecting directly with the earth, and Step-like pattern, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: Mountains, Person sitting on the ground, Tekche","Айырмачылыгы: Mountains, Person sitting on the ground, Tekche"
Deer Hoof Print with Wide Horns + Spiral Motifs and Meander Motifs + Tekche,"An intricate interplay of Deer Hoof Print with Wide Horns, Spiral Motifs and Meander Motifs, Tekche. These elements weave together concepts of A vivid narrative in miniature, capturing the trace of a magnificent journey, Flowing lines that weave tales of perpetual motion and boundless continuity, and Step-like pattern, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: Deer Hoof Print with Wide Horns, Spiral Motifs and Meander Motifs, Tekche","Айырмачылыгы: Deer Hoof Print with Wide Horns, Spiral Motifs and Meander Motifs, Tekche"
Horns of the Mountain Ram + Patterned Saddlecloth + Person sitting on the ground,"An intricate interplay of Horns of the Mountain Ram, Patterned Saddlecloth, Person sitting on the ground. These elements weave together concepts of The majestic, spiraling horns of the mountain ram stand as a preeminent symbol of indomitable strength, powerful virility, and unwavering protection, A tapestry of comfort and tradition, where intricate patterns adorn a utilitarian object, and A figure in quiet repose, connecting directly with the earth, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: Horns of the Mountain Ram, Patterned Saddlecloth, Person sitting on the ground","Айырмачылыгы: Horns of the Mountain Ram, Patterned Saddlecloth, Person sitting on the ground"
Flower + Wave + Wide Deer Horns,"An intricate interplay of Flower, Wave, Wide Deer Horns. These elements weave together concepts of A delicate bloom, unfurling its beauty as a vibrant symbol of growth, vitality, and the tender promise of the natural world, Symbol of change, energy, and freedom, and As lovingly described by master embroiderers of old, these broad, expansive deer horns speak of mature wisdom, seasoned experience, or the majestic presence of a powerful stag, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: Flower, Wave, Wide Deer Horns","Айырмачылыгы: Flower, Wave, Wide Deer Horns"
Hornmotiv + Resting Horse + Woman,"An intricate interplay of Hornmotiv, Resting Horse, Woman. These elements weave together concepts of A primal, foundational motif derived from the majestic horns of mountain animals, A majestic pause, embodying tranquility and the quiet power of readiness, and Softness, care, fertility, motherhood, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: Hornmotiv, Resting Horse, Woman","Айырмачылыгы: Hornmotiv, Resting Horse, Woman"
Horns of the Mountain Ram + Slightly unfurled flower,"A harmonious fusion of Horns of the Mountain Ram and Slightly unfurled flower. This combination evokes themes of The majestic, spiraling horns of the mountain ram stand as a preeminent symbol of indomitable strength, powerful virility, and unwavering protection and The delicate promise of blossoming life, poised at the threshold of full bloom, signifying a balanced strength and a layered narrative of cultural depth and natural power.","Сочетание: Horns of the Mountain Ram, Slightly unfurled flower","Айырмачылыгы: Horns of the Mountain Ram, Slightly unfurled flower"
Khan + River,"A harmonious fusion of Khan and River. This combination evokes themes of Embodied in symmetrical and resolute forms, it is the emblem of supreme authority, righteous justice, and unshakeable power and Wavy line, signifying a balanced strength and a layered narrative of cultural depth and natural power.","Сочетание: Khan, River","Айырмачылыгы: Khan, River"
Hornmotiv + Tree on the river bank,"A harmonious fusion of Hornmotiv and Tree on the river bank. This combination evokes themes of A primal, foundational motif derived from the majestic horns of mountain animals and A steadfast guardian at the water's edge, symbolizing enduring life, robust growth, and the vital presence of flowing water, signifying a balanced strength and a layered narrative of cultural depth and natural power.","Сочетание: Hornmotiv, Tree on the river bank","Айырмачылыгы: Hornmotiv, Tree on the river bank"
Dog digging the earth + Horns of the Mountain Ram,"A harmonious fusion of Dog digging the earth and Horns of the Mountain Ram. This combination evokes themes of A loyal spirit in active communion with the earth, signifying vigilance, industriousness, and an instinctive connection to the land and The majestic, spiraling horns of the mountain ram stand as a preeminent symbol of indomitable strength, powerful virility, and unwavering protection, signifying a balanced strength and a layered narrative of cultural depth and natural power.","Сочетание: Dog digging the earth, Horns of the Mountain Ram","Айырмачылыгы: Dog digging the earth, Horns of the Mountain Ram"
Bird on a branch + Life_tree + Slightly unfurled flower,"An intricate interplay of Bird on a branch, Life_tree, Slightly unfurled flower. These elements weave together concepts of A feathered sentinel, poised on a natural perch, symbolizing freedom, lightness of spirit, and the vital communication of nature, A tree with roots and branches, and The delicate promise of blossoming life, poised at the threshold of full bloom, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: Bird on a branch, Life_tree, Slightly unfurled flower","Айырмачылыгы: Bird on a branch, Life_tree, Slightly unfurled flower"
Horns of the White Deer + Man + Woman,"An intricate interplay of Horns of the White Deer, Man, Woman. These elements weave together concepts of Intricately crafted, these horns of the rare white deer transcend earthly bounds, symbolizing profound purity, spiritual ascension, and a higher, mystical wisdom, Symbolizes strength, protection, and masculinity, and Softness, care, fertility, motherhood, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: Horns of the White Deer, Man, Woman","Айырмачылыгы: Horns of the White Deer, Man, Woman"
Clouds + Deer Hoof Print with Wide Horns + Lit Lantern,"An intricate interplay of Clouds, Deer Hoof Print with Wide Horns, Lit Lantern. These elements weave together concepts of Whispers of the sky, ever-changing and vast, symbolizing transformation, the mystery of the heavens, and the life-giving promise of rain, A vivid narrative in miniature, capturing the trace of a magnificent journey, and A beacon of warmth and guidance, piercing the veil of night, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: Clouds, Deer Hoof Print with Wide Horns, Lit Lantern","Айырмачылыгы: Clouds, Deer Hoof Print with Wide Horns, Lit Lantern"
Besh_barmak + Plowshare,"A harmonious fusion of Besh_barmak and Plowshare. This combination evokes themes of The open palm, a timeless gesture of welcome and profound hospitality, embodying warmth, friendship, and a spirit of boundless generosity and An ancient tool of the earth, symbolizing labor, cultivation, and the profound human act of shaping the land for sustenance, signifying a balanced strength and a layered narrative of cultural depth and natural power.","Сочетание: Besh_barmak, Plowshare","Айырмачылыгы: Besh_barmak, Plowshare"
Lit Lantern + Stars,"The intimate glow of the 'Lit Lantern' joins with the distant 'Stars', symbolizing light guiding through both personal and cosmic darkness, illuminating paths of knowledge and the enduring hope that pierces even the deepest night.","Сочетание: Lit Lantern, Stars","Айырмачылыгы: Lit Lantern, Stars"
'Reflected' Ornament / 'Reserve' + Ram + Ram Meat,"An intricate interplay of 'Reflected' Ornament / 'Reserve', Ram, Ram Meat. These elements weave together concepts of A sophisticated dance of positive and negative space, where the 'empty' or 'remainder' area forms its own compelling design, Ram’s horn-shaped spirals, and The essence of sustenance and generous abundance, central to feasting and hospitality, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: 'Reflected' Ornament / 'Reserve', Ram, Ram Meat","Айырмачылыгы: 'Reflected' Ornament / 'Reserve', Ram, Ram Meat"
Horns of the Deer + Horns of the White Deer + River,"An intricate interplay of Horns of the Deer, Horns of the White Deer, River. These elements weave together concepts of A ubiquitous and wonderfully diverse motif, reflecting the grace, swiftness, and intuitive spirit of the deer, Intricately crafted, these horns of the rare white deer transcend earthly bounds, symbolizing profound purity, spiritual ascension, and a higher, mystical wisdom, and Wavy line, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: Horns of the Deer, Horns of the White Deer, River","Айырмачылыгы: Horns of the Deer, Horns of the White Deer, River"
Flower + Water,"A harmonious fusion of Flower and Water. This combination evokes themes of A delicate bloom, unfurling its beauty as a vibrant symbol of growth, vitality, and the tender promise of the natural world and The dynamic flow of life itself, endlessly moving, purifying, and nurturing, signifying a balanced strength and a layered narrative of cultural depth and natural power.","Сочетание: Flower, Water","Айырмачылыгы: Flower, Water"
Eagle + Flower + Water,"An intricate interplay of Eagle, Flower, Water. These elements weave together concepts of The majestic wings, soaring high, symbolize the noble spirit and enduring strength of the clan, A delicate bloom, unfurling its beauty as a vibrant symbol of growth, vitality, and the tender promise of the natural world, and The dynamic flow of life itself, endlessly moving, purifying, and nurturing, illustrating the rich tapestry of interconnectedness and profound symbolism within Kyrgyz heritage.","Сочетание: Eagle, Flower, Water","Айырмачылыгы: Eagle, Flower, Water"
Narrative 47: Jailoo Life,"This intricate narrative tapestry depicts a vibrant summer day on the jailoo. It weaves together images of flourishing nature—blooming cotton and drifting clouds—with the industrious rhythms of nomadic life: mountain goats grazing, a hidden boat hinting at leisure, the warmth of the yurt, communal feasting on ram meat, and the presence of people in their distinctive attire. It's a serene portrayal of harmony between humanity, animals, and the natural world.",Повествование 47: Жизнь на джайлоо,Баяндоо 47: Жайлоо жашоосу
Narrative 48: Evening Calm,"This tranquil narrative captures the serenity of an evening descending upon the nomadic camp. The lit lantern casts its inviting glow under a sky adorned with the young moon and stars, signifying the peaceful transition from day to night. Earthly elements, a diligent dog, a resting horse, a person in contemplation, and the steadfast tree and bird on the river bank, paint a picture of quiet domesticity and harmony with the natural surroundings as night unfolds.",Повествование 48: Вечернее Спокойствие,Баяндоо 48: Кечки тынчтык
Narrative 49: Journey's Respite,"This narrative symbolizes a journey's completion and the peaceful respite that follows. It depicts the arduous path of ascending a winding mountain, a journey perhaps for the jailoo, contrasted with the tranquility of a night's rest. The forgotten plowshare under the new moon hints at a pause in labor, while the comfort of the pointed yurt and patterned saddlecloths represents the cherished warmth of home and companionship after effort.",Повествование 49: Отдых после Путешествия,Баяндоо 49: Сапардан кийинки эс алуу
Plowshare + Young Moon,"A harmonious blend of Plowshare and Young Moon. This combination evokes themes of An ancient tool of the earth, symbolizing labor, cultivation, and the profound human act of shaping the land for sustenance and A silver sliver in the twilight sky, symbolizing new beginnings, the gentle turning of time's wheel, and burgeoning hope, symbolizing the layered beauty and wisdom within Kyrgyz tradition.",Сочетание: Plowshare + Young Moon,Айырмачылыгы: Plowshare + Young Moon
Human Foot + River,"A harmonious blend of Human Foot and River. This combination evokes themes of A fundamental imprint of human journey and presence and Wavy line, symbolizing the layered beauty and wisdom within Kyrgyz tradition.",Сочетание: Human Foot + River,Айырмачылыгы: Human Foot + River
Bat + Stars,"A harmonious blend of Bat and Stars. This combination evokes themes of A nocturnal whisper, marking the transition to dusk or night and Countless jewels scattered across the cosmic canvas, symbolizing eternity, divine guidance, and the boundless expanse of destiny, symbolizing the layered beauty and wisdom within Kyrgyz tradition.",Сочетание: Bat + Stars,Айырмачылыгы: Bat + Stars
Clouds + Mountain Goat,"A harmonious blend of Clouds and Mountain Goat. This combination evokes themes of Whispers of the sky, ever-changing and vast, symbolizing transformation, the mystery of the heavens, and the life-giving promise of rain and The agile spirit of the high peaks, embodying resilience, freedom, and an unbreakable bond with the rugged mountain landscapes, symbolizing the layered beauty and wisdom within Kyrgyz tradition.",Сочетание: Clouds + Mountain Goat,Айырмачылыгы: Clouds + Mountain Goat
Patterned Saddlecloth + Resting Horse,"A harmonious blend of Patterned Saddlecloth and Resting Horse. This combination evokes themes of A tapestry of comfort and tradition, where intricate patterns adorn a utilitarian object and A majestic pause, embodying tranquility and the quiet power of readiness, symbolizing the layered beauty and wisdom within Kyrgyz tradition.",Сочетание: Patterned Saddlecloth + Resting Horse,Айырмачылыгы: Patterned Saddlecloth + Resting Horse
Lit Lantern + Person sitting on the ground,"A harmonious blend of Lit Lantern and Person sitting on the ground. This combination evokes themes of A beacon of warmth and guidance, piercing the veil of night and A figure in quiet repose, connecting directly with the earth, symbolizing the layered beauty and wisdom within Kyrgyz tradition.",Сочетание: Lit Lantern + Person sitting on the ground,Айырмачылыгы: Lit Lantern + Person sitting on the ground
Tree on the river bank + Bird on a branch,"A harmonious blend of Tree on the river bank and Bird on a branch. This combination evokes themes of A steadfast guardian at the water's edge, symbolizing enduring life, robust growth, and the vital presence of flowing water and A feathered sentinel, poised on a natural perch, symbolizing freedom, lightness of spirit, and the vital communication of nature, symbolizing the layered beauty and wisdom within Kyrgyz tradition.",Сочетание: Tree on the river bank + Bird on a branch,Айырмачылыгы: Tree on the river bank + Bird on a branch
